Planet,Mass (kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (10^6 km),Perihelion (AU),Aphelion (AU),Semi-Major Axis (AU),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
Mercury,3.3e+23 kg,3.261410056954775e-05 AU,5429,3.7,4.3,1407.6,4222.6,57.9,0.3074910076243485 AU,0.46658418113433753 AU,0.387037594379343 AU,0.24093086926762491 yr,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes
Venus,4.87e+24 kg,8.091024252793726e-05 AU,5243,8.9,10.4,-5832.5,2802.0,108.2,0.7185931156438579 AU,0.7279515376150337 AU,0.7232723266294458 AU,0.6151950718685831 yr,35.0,3.4,0.007,177.4,464,92.0,0,No,No
Earth,5.969999999999999e+24 kg,8.526859333165629e-05 AU,5514,9.8,11.2,23.9,24.0,149.6,0.9833027656856883 AU,1.0167257012970305 AU,1.0000142334913595 AU,0.9998631074606433 yr,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes
Moon,7.3e+22 kg,2.3228940249882847e-05 AU,3340,1.6,2.4,655.7,708.7,0.384,0.0024265051253834456 AU,0.002713942371640989 AU,0.0025702237485122174 AU,0.07474332648870637 yr,1.0,5.1,0.055,6.7,-20,0.0,0,No,No
Mars,6.42e+23 kg,4.540171573444728e-05 AU,3934,3.7,5.0,24.6,24.7,228.0,1.3817041581728877 AU,1.6664675695815234 AU,1.5240858638772057 AU,1.8809034907597535 yr,24.1,1.8,0.094,25.2,-65,0.01,2,No,No
Jupiter,1.898e+27 kg,0.0009557890050904314 AU,1326,23.1,59.5,9.9,9.9,778.5,4.950605222752011 AU,5.457296926619959 AU,5.2039510746859845 AU,11.85763175906913 yr,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes
Saturn,5.68e+26 kg,0.0008057333933697493 AU,687,9.0,35.5,10.7,10.7,1432.0,9.074995477191642 AU,10.070330499697413 AU,9.572662988444527 AU,29.423682409308693 yr,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes
Uranus,8.68e+25 kg,0.0003417027245161184 AU,1270,8.7,21.3,-17.2,17.2,2867.0,18.26697122902298 AU,20.06311978877651 AU,19.16504550889975 AU,83.74811772758385 yr,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes
Neptune,1.0199999999999999e+26 kg,0.0003310742309917116 AU,1638,11.0,23.5,16.1,16.1,4515.0,29.887457482374447 AU,30.474364231709618 AU,30.180910857042033 AU,163.72347707049965 yr,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes
Pluto,1.3e+22 kg,1.588257900250983e-05 AU,1850,0.7,1.3,-153.3,153.3,5906.4,29.658176144080638 AU,49.30484615513983 AU,39.481511149610235 AU,247.93976728268308 yr,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown
